decision_timestamp,top3_overlap,forecast_names_changed,persistence_names_changed
2023-11-17 23:59:59.999999999+00:00,2,1.0,1.0
2023-11-24 23:59:59.999999999+00:00,2,1.0,1.0
2023-12-01 23:59:59.999999999+00:00,2,1.0,1.0
2023-12-08 23:59:59.999999999+00:00,3,1.0,1.0
2023-12-15 23:59:59.999999999+00:00,1,2.0,1.0
2023-12-22 23:59:59.999999999+00:00,2,1.0,2.0
2023-12-29 23:59:59.999999999+00:00,2,1.0,1.0
2024-01-05 23:59:59.999999999+00:00,3,0.0,1.0
2024-01-12 23:59:59.999999999+00:00,3,1.0,1.0
2024-01-19 23:59:59.999999999+00:00,3,1.0,1.0
2024-01-26 23:59:59.999999999+00:00,3,0.0,0.0
2024-02-02 23:59:59.999999999+00:00,3,1.0,1.0
2024-02-09 23:59:59.999999999+00:00,2,1.0,0.0
2024-02-16 23:59:59.999999999+00:00,3,0.0,1.0
2024-02-23 23:59:59.999999999+00:00,2,1.0,0.0
2024-03-01 23:59:59.999999999+00:00,2,1.0,0.0
2024-03-08 23:59:59.999999999+00:00,2,2.0,0.0
2024-03-15 23:59:59.999999999+00:00,2,1.0,1.0
2024-03-22 23:59:59.999999999+00:00,3,1.0,2.0
2024-03-29 23:59:59.999999999+00:00,2,1.0,0.0
2024-04-05 23:59:59.999999999+00:00,3,1.0,1.0
2024-04-12 23:59:59.999999999+00:00,3,1.0,1.0
2024-04-19 23:59:59.999999999+00:00,3,0.0,0.0
2024-04-26 23:59:59.999999999+00:00,3,1.0,1.0
2024-05-03 23:59:59.999999999+00:00,3,0.0,0.0
2024-05-10 23:59:59.999999999+00:00,3,0.0,0.0
2024-05-17 23:59:59.999999999+00:00,2,1.0,1.0
2024-05-24 23:59:59.999999999+00:00,2,1.0,1.0
2024-05-31 23:59:59.999999999+00:00,2,0.0,1.0
2024-06-07 23:59:59.999999999+00:00,3,0.0,1.0
2024-06-14 23:59:59.999999999+00:00,2,1.0,0.0
2024-06-21 23:59:59.999999999+00:00,1,2.0,1.0
2024-06-28 23:59:59.999999999+00:00,2,1.0,2.0
2024-07-05 23:59:59.999999999+00:00,3,1.0,0.0
2024-07-12 23:59:59.999999999+00:00,3,0.0,0.0
2024-07-19 23:59:59.999999999+00:00,2,1.0,0.0
2024-07-26 23:59:59.999999999+00:00,3,0.0,1.0
2024-08-02 23:59:59.999999999+00:00,3,1.0,1.0
2024-08-09 23:59:59.999999999+00:00,2,1.0,0.0
2024-08-16 23:59:59.999999999+00:00,3,1.0,2.0
2024-08-23 23:59:59.999999999+00:00,3,0.0,0.0
2024-08-30 23:59:59.999999999+00:00,2,1.0,0.0
2024-09-06 23:59:59.999999999+00:00,2,1.0,1.0
2024-09-13 23:59:59.999999999+00:00,3,0.0,1.0
2024-09-20 23:59:59.999999999+00:00,2,2.0,1.0
2024-09-27 23:59:59.999999999+00:00,2,1.0,1.0
2024-10-04 23:59:59.999999999+00:00,2,2.0,1.0
2024-10-11 23:59:59.999999999+00:00,3,0.0,1.0
2024-10-18 23:59:59.999999999+00:00,2,1.0,1.0
2024-10-25 23:59:59.999999999+00:00,2,1.0,1.0
2024-11-01 23:59:59.999999999+00:00,2,1.0,2.0
2024-11-08 23:59:59.999999999+00:00,3,0.0,1.0
2024-11-15 23:59:59.999999999+00:00,2,1.0,0.0
